timestamp,tia_par,filter_name,f1_415,f2_445,f3_480,f4_515,f5_555,f6_590,f7_630,f8_680,clear,nir
2026-06-01T12:34:18,94.16944,white,19.0,53.0,79.0,98.0,105.0,113.0,136.0,86.0,335.0,22.0
2026-06-01T12:34:48,47.380044,e002,11.0,30.0,40.0,28.0,22.0,53.0,110.0,73.0,183.0,14.0
2026-06-01T12:35:22,69.04729,e003,15.0,42.0,60.0,70.0,69.0,77.0,101.0,74.0,249.0,17.0
2026-06-01T12:36:02,58.53448,e004,10.0,23.0,35.0,48.0,62.0,87.0,119.0,75.0,222.0,17.0
2026-06-01T12:37:34,77.56118,e007,13.0,31.0,58.0,86.0,94.0,102.0,123.0,78.0,283.0,20.0
2026-06-01T12:37:48,37.90371,e008,6.0,10.0,12.0,14.0,27.0,71.0,113.0,72.0,157.0,14.0
2026-06-01T12:39:15,59.99048,e009,10.0,19.0,33.0,56.0,71.0,91.0,118.0,75.0,227.0,17.0
2026-06-01T12:39:29,61.051632,e010,7.0,5.0,19.0,77.0,92.0,101.0,121.0,75.0,237.0,19.0
2026-06-01T12:40:31,58.7319,e013,10.0,19.0,32.0,54.0,75.0,93.0,114.0,73.0,225.0,17.0
2026-06-01T12:41:13,45.874688,e015,6.0,5.0,8.0,29.0,65.0,88.0,111.0,71.0,183.0,15.0
2026-06-01T12:41:49,13.768671,e017,2.0,4.0,4.0,7.0,14.0,25.0,35.0,22.0,60.0,5.0
