current_a,leg,order,ref,ref_sd,par_raw,raw_sd,sat,t
0.0,up,0,6.3023176,0.0,5.73,0.0,none,2026-08-18T15:16:03
0.2,up,1,17.975314,0.016895186675500187,17.27,0.0,none,2026-08-18T15:16:11
0.4,up,2,30.822382,0.01689646952946103,30.08,0.059999999999999436,none,2026-08-18T15:16:19
0.8,up,3,56.58425,0.014280846215824358,55.39,0.06400000000000147,none,2026-08-18T15:16:26
1.2,up,4,82.09776,0.01806400000000394,80.66,0.0,none,2026-08-18T15:16:34
1.6,up,5,107.18228,0.02019437713423831,105.3,0.07282856582413136,none,2026-08-18T15:16:42
1.6,down,6,107.06939,0.0142783161248057,105.16,0.05953150426454743,none,2026-08-18T15:16:50
1.2,down,7,81.894552,0.009035199999999577,80.32,0.0,none,2026-08-18T15:16:57
0.8,down,8,56.358468,0.009032799999999952,55.33,0.020591260281973216,none,2026-08-18T15:17:05
0.4,down,9,30.5966,0.00903199999999913,29.69,3.552713678800501e-15,none,2026-08-18T15:17:13
0.2,down,10,17.704372,0.01806330000415245,17.13,0.02449489742783213,none,2026-08-18T15:17:21
0.0,down,11,6.0539556,0.0,5.45,0.0,none,2026-08-18T15:17:28
