current_a,leg,order,ref,ref_sd,par_raw,raw_sd,sat,t
0.0,up,0,5.4443408,0.0,5.51,0.0,none,2026-08-18T14:18:56
0.2,up,1,17.18507,0.011062875474305886,18.59,0.0,none,2026-08-18T14:19:04
0.4,up,2,30.1450316,0.01427958100360048,32.84,0.02400000000000091,none,2026-08-18T14:19:12
0.8,up,3,56.110108,0.016895614313778666,62.07,0.0440908153700954,none,2026-08-18T14:19:19
1.2,up,4,81.78166,0.009035199999999577,91.16,0.0039999999999963615,none,2026-08-18T14:19:27
1.6,up,5,107.046816,0.02633086383694836,119.44,0.05199999999999819,none,2026-08-18T14:19:35
1.6,down,6,107.001656,0.011059936086615006,119.28,0.039999999999997725,none,2026-08-18T14:19:43
1.2,down,7,81.62362,0.014280340384516348,90.74,0.09528903399657439,none,2026-08-18T14:19:50
0.8,down,8,55.95206,0.01806399999999826,61.86,0.0,none,2026-08-18T14:19:58
0.4,down,9,30.032138,0.011058956290716886,32.69,0.0,none,2026-08-18T14:20:06
0.2,down,10,17.117336,0.00903199999999913,18.41,0.0,none,2026-08-18T14:20:13
0.0,down,11,5.376606,0.0,5.51,0.0,none,2026-08-18T14:20:21
